Type,Epoch,Dropout 0.0
Test PPL,40,38.258040427811075
Training PPL,1,98.36322660023775
Training PPL,2,52.23210010177741
Training PPL,3,34.34010261692558
Training PPL,4,25.617626242241865
Training PPL,5,21.19389011107418
Training PPL,6,18.40439355922139
Training PPL,7,16.28545990467671
Training PPL,8,12.526522076369872
Training PPL,9,11.541572228644025
Training PPL,10,10.536144536580133
Training PPL,11,10.199500494648511
Training PPL,12,10.095112457278487
Training PPL,13,10.066113324174797
Training PPL,14,10.058895236482545
Training PPL,15,10.057093058023078
Training PPL,16,10.056642425993756
Training PPL,17,10.056528824064351
Training PPL,18,10.056499956239499
Training PPL,19,10.056493290756828
Training PPL,20,10.056492115906025
Training PPL,21,10.056492115906025
Training PPL,22,10.056491972046755
Training PPL,23,10.056491972046755
Training PPL,24,10.056491924093661
Training PPL,25,10.056492115906025
Training PPL,26,10.056492115906025
Training PPL,27,10.056492139882574
Training PPL,28,10.056492139882574
Training PPL,29,10.056492139882574
Training PPL,30,10.056492139882574
Training PPL,31,10.056492139882574
Training PPL,32,10.056492139882574
Training PPL,33,10.056492139882574
Training PPL,34,10.056492139882574
Training PPL,35,10.056492139882574
Training PPL,36,10.056492139882574
Training PPL,37,10.056492139882574
Training PPL,38,10.056492139882574
Training PPL,39,10.056492139882574
Training PPL,40,10.056492139882574
Validation PPL,1,438.2439736398985
Validation PPL,2,225.27278498403984
Validation PPL,3,125.12700128922252
Validation PPL,4,105.70585655903461
Validation PPL,5,92.39766558729775
Validation PPL,6,81.83447766385586
Validation PPL,7,84.9715556314491
Validation PPL,8,75.48472496948085
Validation PPL,9,77.30775456924428
Validation PPL,10,76.97024806331498
Validation PPL,11,76.49843277142305
Validation PPL,12,76.43716905391749
Validation PPL,13,76.43091489289974
Validation PPL,14,76.4298029551609
Validation PPL,15,76.42954303017879
Validation PPL,16,76.42947958301629
Validation PPL,17,76.42947355302606
Validation PPL,18,76.4294809582773
Validation PPL,19,76.42946950658558
Validation PPL,20,76.42947077605712
Validation PPL,21,76.42947910696438
Validation PPL,22,76.42947818130801
Validation PPL,23,76.42947413486722
Validation PPL,24,76.42947632999517
Validation PPL,25,76.42947632999517
Validation PPL,26,76.42947632999517
Validation PPL,27,76.42947632999517
Validation PPL,28,76.42947632999517
Validation PPL,29,76.42947632999517
Validation PPL,30,76.42947632999517
Validation PPL,31,76.42947632999517
Validation PPL,32,76.42947632999517
Validation PPL,33,76.42947632999517
Validation PPL,34,76.42947632999517
Validation PPL,35,76.42947632999517
Validation PPL,36,76.42947632999517
Validation PPL,37,76.42947632999517
Validation PPL,38,76.42947632999517
Validation PPL,39,76.42947632999517
Validation PPL,40,76.42947632999517
