Type,Epoch,Dropout 0.5
Test PPL,40,34.34869521287085
Training PPL,1,97.56424867462542
Training PPL,2,52.23746467593371
Training PPL,3,38.321528454732466
Training PPL,4,30.208353040076698
Training PPL,5,26.072908647886752
Training PPL,6,23.54630226913934
Training PPL,7,21.871738509540275
Training PPL,8,20.382427409345944
Training PPL,9,19.36293565403886
Training PPL,10,18.444649566734665
Training PPL,11,17.61365909440036
Training PPL,12,16.894425477341823
Training PPL,13,14.938306518237443
Training PPL,14,14.417981672164982
Training PPL,15,14.13147779766907
Training PPL,16,13.664552277498585
Training PPL,17,13.54069220275888
Training PPL,18,13.435657150540937
Training PPL,19,13.411016174705308
Training PPL,20,13.350911613355207
Training PPL,21,13.311403516947701
Training PPL,22,13.37728208469613
Training PPL,23,13.334959691688377
Training PPL,24,13.383686099442851
Training PPL,25,13.332257876544112
Training PPL,26,13.40029571986646
Training PPL,27,13.379756963309859
Training PPL,28,13.366022242355383
Training PPL,29,13.433337769714784
Training PPL,30,13.393149338914835
Training PPL,31,13.355382110052524
Training PPL,32,13.387136438561676
Training PPL,33,13.384211335085897
Training PPL,34,13.403971038050011
Training PPL,35,13.378033112049863
Training PPL,36,13.376521021593229
Training PPL,37,13.354739941838872
Training PPL,38,13.321859076503776
Training PPL,39,13.414847345389944
Training PPL,40,13.350458983443486
Validation PPL,1,328.10816725394756
Validation PPL,2,217.5238220087624
Validation PPL,3,133.5232777648164
Validation PPL,4,108.81121100027055
Validation PPL,5,88.96278893951651
Validation PPL,6,88.9500171738351
Validation PPL,7,80.9055151988333
Validation PPL,8,77.59657991706705
Validation PPL,9,74.16932159185505
Validation PPL,10,73.62196486074201
Validation PPL,11,72.17145683136849
Validation PPL,12,73.35125963993653
Validation PPL,13,68.39228715415112
Validation PPL,14,67.87562791038587
Validation PPL,15,67.93706796459789
Validation PPL,16,67.50350321978627
Validation PPL,17,67.53778787209065
Validation PPL,18,67.52460135908609
Validation PPL,19,67.53055855309412
Validation PPL,20,67.52891699565645
Validation PPL,21,67.52871402660102
Validation PPL,22,67.52879499449669
Validation PPL,23,67.52876597222681
Validation PPL,24,67.52877118314875
Validation PPL,25,67.52877006151533
Validation PPL,26,67.52877006151533
Validation PPL,27,67.52876760794221
Validation PPL,28,67.52876351865383
Validation PPL,29,67.52876351865383
Validation PPL,30,67.52876270079624
Validation PPL,31,67.52876270079624
Validation PPL,32,67.52876270079624
Validation PPL,33,67.52876270079624
Validation PPL,34,67.52876270079624
Validation PPL,35,67.52876270079624
Validation PPL,36,67.52876270079624
Validation PPL,37,67.52876270079624
Validation PPL,38,67.52876270079624
Validation PPL,39,67.52876270079624
Validation PPL,40,67.52876270079624
