Type,Epoch,Dropout 0.6
Test PPL,40,41.559037480926115
Training PPL,1,98.79774913163574
Training PPL,2,53.4127126558019
Training PPL,3,39.53324795920847
Training PPL,4,32.115710100865776
Training PPL,5,28.196718031075978
Training PPL,6,25.667309706672956
Training PPL,7,24.013120042730044
Training PPL,8,22.65959217069659
Training PPL,9,20.225447482678888
Training PPL,10,19.5613496012983
Training PPL,11,19.166528585309102
Training PPL,12,18.769767383064323
Training PPL,13,18.47345706394112
Training PPL,14,18.1506576422115
Training PPL,15,17.884064666197833
Training PPL,16,17.57811027646486
Training PPL,17,17.435664455508636
Training PPL,18,17.150205763529613
Training PPL,19,16.942795933368746
Training PPL,20,16.721806011211964
Training PPL,21,16.20834395102543
Training PPL,22,16.13748641956221
Training PPL,23,16.00645787621848
Training PPL,24,15.934801368345234
Training PPL,25,15.944425817879361
Training PPL,26,15.94746821634684
Training PPL,27,15.917575032288998
Training PPL,28,15.878869892918102
Training PPL,29,15.812010028728135
Training PPL,30,15.808717044854728
Training PPL,31,15.823617101050765
Training PPL,32,15.877006774240655
Training PPL,33,15.862071269210016
Training PPL,34,15.853306542620484
Training PPL,35,15.783107985145465
Training PPL,36,15.812410470129757
Training PPL,37,15.733840363516562
Training PPL,38,15.830929306997458
Training PPL,39,15.832157804616736
Training PPL,40,15.813972371445566
Validation PPL,1,316.4838945625416
Validation PPL,2,185.9882306580464
Validation PPL,3,146.8225574385187
Validation PPL,4,105.93378651752106
Validation PPL,5,98.3487823760716
Validation PPL,6,90.54850597851764
Validation PPL,7,83.06096192431376
Validation PPL,8,83.67673896184952
Validation PPL,9,75.41192603009414
Validation PPL,10,74.89917634007708
Validation PPL,11,74.2444980938272
Validation PPL,12,73.54914940556095
Validation PPL,13,73.1747863919508
Validation PPL,14,72.5034065283843
Validation PPL,15,72.2415329260665
Validation PPL,16,72.00890494637869
Validation PPL,17,71.71871336315624
Validation PPL,18,71.50820052689767
Validation PPL,19,70.84607290473146
Validation PPL,20,71.18231681530295
Validation PPL,21,70.39149983897848
Validation PPL,22,70.4713660345733
Validation PPL,23,70.3608198689753
Validation PPL,24,70.31133285270377
Validation PPL,25,70.2875466813643
Validation PPL,26,70.1935305680858
Validation PPL,27,70.1847135357843
Validation PPL,28,70.19400350986434
Validation PPL,29,70.19524280198006
Validation PPL,30,70.19348611837775
Validation PPL,31,70.19100501917436
Validation PPL,32,70.19078987115881
Validation PPL,33,70.19076414962376
Validation PPL,34,70.19076244942815
Validation PPL,35,70.19077265060217
Validation PPL,36,70.19077690109177
Validation PPL,37,70.19077350070009
Validation PPL,38,70.1907752008959
Validation PPL,39,70.19077976713633
Validation PPL,40,70.19077806694041
