Type,Epoch,Dropout 0.9
Test PPL,40,159.26487185200693
Training PPL,1,102.33401652613031
Training PPL,2,67.444885860836
Training PPL,3,58.16253588199998
Training PPL,4,55.02008038108013
Training PPL,5,53.0112082907367
Training PPL,6,52.109618724688254
Training PPL,7,51.25562269408839
Training PPL,8,50.24093556636461
Training PPL,9,49.84565645151246
Training PPL,10,49.37380983543148
Training PPL,11,48.934208779862395
Training PPL,12,48.752317703646185
Training PPL,13,48.195499531469366
Training PPL,14,47.8037449169641
Training PPL,15,47.73474671935123
Training PPL,16,46.155565541895044
Training PPL,17,44.956402754784584
Training PPL,18,44.52223412018842
Training PPL,19,44.07689916571135
Training PPL,20,43.57612135697992
Training PPL,21,43.393002892009086
Training PPL,22,43.010923353679175
Training PPL,23,42.62485217553694
Training PPL,24,42.47099684953167
Training PPL,25,42.30082865914037
Training PPL,26,41.71703355611167
Training PPL,27,41.61268927347372
Training PPL,28,41.27768037261628
Training PPL,29,41.436651358362234
Training PPL,30,41.1545917057778
Training PPL,31,41.05186661358589
Training PPL,32,41.047807730763346
Training PPL,33,40.89082417964779
Training PPL,34,40.86068824346088
Training PPL,35,40.90579476209235
Training PPL,36,40.52113162232317
Training PPL,37,40.68004361148614
Training PPL,38,40.6468230073458
Training PPL,39,40.55577856557469
Training PPL,40,40.34932854306607
Validation PPL,1,382.5472712945077
Validation PPL,2,268.8113187971335
Validation PPL,3,246.499275628914
Validation PPL,4,234.4084904605417
Validation PPL,5,224.35275333658166
Validation PPL,6,222.1338970326138
Validation PPL,7,217.56745481209296
Validation PPL,8,212.16717624108648
Validation PPL,9,209.55565926239063
Validation PPL,10,204.9847512612717
Validation PPL,11,201.6834022109737
Validation PPL,12,200.56360181818138
Validation PPL,13,197.60737008131665
Validation PPL,14,196.1321938842689
Validation PPL,15,197.27917250303585
Validation PPL,16,190.23635973638218
Validation PPL,17,187.54764235093336
Validation PPL,18,185.23640286532566
Validation PPL,19,183.16142994325554
Validation PPL,20,181.18782547806717
Validation PPL,21,179.3805160973165
Validation PPL,22,178.44300757163847
Validation PPL,23,176.99621766632086
Validation PPL,24,176.2567106661734
Validation PPL,25,176.60321464267267
Validation PPL,26,174.25084432103444
Validation PPL,27,173.75573266471176
Validation PPL,28,173.44769452627347
Validation PPL,29,173.12824516434299
Validation PPL,30,172.76709488944414
Validation PPL,31,172.3206942183967
Validation PPL,32,172.21341824722185
Validation PPL,33,171.61444122101977
Validation PPL,34,171.47163968051686
Validation PPL,35,171.10002222393604
Validation PPL,36,170.87713442241295
Validation PPL,37,170.205535460726
Validation PPL,38,170.20177032299344
Validation PPL,39,170.03433928891255
Validation PPL,40,169.61081876701402
